department,class_group,class_subgroup,class_subsubgroup,class_id,class_number,class_champion,tochampion_id,class_title,class_description,session_id,program_order,program_order,age_min,age_max,trophy
Equine,Western Riding,,,c1194,,TRUE,,Grand Champion Overall Western Pleasure,,equine7,Thursday,15,,,
Equine,Western Riding,,,c1196,1196,,,Open Green Western Riding,,equine7,Thursday,16,,,
Equine,Western Riding,,,c1197,,TRUE,,Champion Western Riding,,equine7,Thursday,17,,,
Equine,Western Riding,Junior,,c1199,1199,,,"Horses and Ponies, Walk Only, English and Western",,equine8,Thursday,1,5,8,
Equine,Western Riding,Junior,,c1200,1200,,,Western Horsemanship,,equine8,Thursday,2,6,11,
Equine,Western Riding,Junior,,c1201,1201,,,Western Horsemanship,,equine8,Thursday,3,12,13,
Equine,Western Riding,Junior,,c1202,1202,,,"Horse, Walk/Trot Western Horsemanship",,equine8,Thursday,4,5,9,
Equine,Western Riding,Junior,,c1203,1203,,,Horse Walk/Trot Western Pleasure,,equine8,Thursday,5,5,9,
Equine,Western Riding,Junior,,c1204,,TRUE,,Junior Champion Western Horsemanshop,,equine8,Thursday,6,,,
Equine,Western Riding,Junior,,c1206,1206,,,Pony Western Horsemanship,,equine8,Thursday,7,6,13,
Equine,Western Riding,Junior,,c1207,1207,,,Pony Walk/Trot Western Horsemanship,,equine8,Thursday,8,5,9,
Equine,Western Riding,Junior,,c1208,1208,,,Pony Walk/Trot Western Pleasure,,equine8,Thursday,9,5,9,
Equine,Western Riding,Junior,,c1209,,TRUE,,"Champion Pony Western Horsemanship, Juniors only eligible",,equine8,Thursday,10,,,
Equine,Western Riding,Junior,,c1211,1211,,,"Horses and Ponies, Western Horsemanship Walk//Trot",,equine8,Thursday,11,10,13,
Equine,Western Riding,Junior,,c1212,1212,,,"Horses and Ponies, Western Pleasure Walk/Trot",,equine8,Thursday,12,10,13,
Equine,Western Riding,Junior,,c1213,1213,,,Ponies Western Pleasure,,equine8,Thursday,13,6,13,
Equine,Western Riding,Junior,,c1214,,TRUE,,Champion Pony Western Pleasure,,equine8,Thursday,14,,,
Equine,Western Riding,Junior,,c1216,1216,,,Ranch Riding Pleasure,,equine8,Thursday,15,6,13,
Equine,Western Riding,Junior,,c1217,1217,,,"Western Pleasure, other than AQHA",,equine8,Thursday,16,6,13,
Equine,Western Riding,Junior,,c1218,1218,,,Registered AQHA Western Pleasure,,equine8,Thursday,17,6,13,
Equine,Western Riding,Junior,,c1219,1219,,,Non-Registered Western Pleasure Horses,,equine8,Thursday,18,6,13,
Equine,Western Riding,Junior,,c1220,,TRUE,,Junior Champion Western Pleasure Horse,,equine8,Thursday,19,,,
Equine,Western Riding,,,c1222,1222,,,Open Disciplined Rail - Western,,equine8,Thursday,20,,,
Equine,Reining,,,c1223,1223,,,Reining,,equine8,Thursday,21,6,13,
Equine,Reining,,,c1224,1224,,,Reining,,equine8,Thursday,22,14,20,
Equine,Reining,,,c1225,,TRUE,,Champion Reining,,equine8,Thursday,23,,,
Equine,Reining,,,c1227,,TRUE,,Overall Champion Ranch Horse,Accumulated points from all Ranch Classes and Regining,equine8,Thursday,24,,,
Equine,Trail,In-Hand,,c1230,1230,,,"In Hand Trail, Under 56""",,equine9,Friday,1,14,20,
Equine,Trail,In-Hand,,c1231,1231,,,In Hand Trail Horses,,equine9,Friday,2,14,20,
Equine,Trail,In-Hand,,c1232,,TRUE,,Champion In Hand Trail,,equine9,Friday,3,,,
Equine,Trail,Senior,,c1234,1234,,,Senior Trail Walk/Trot,,equine9,Friday,4,14,20,
Equine,Trail,Senior,,c1235,1235,,,Senior Trail,,equine9,Friday,5,14,16,
Equine,Trail,Senior,,c1236,1236,,,Senior Trail,,equine9,Friday,6,17,18,
Equine,Trail,Senior,,c1237,1237,,,Senior Trail,,equine9,Friday,7,19,20,
Equine,Trail,Senior,,c1238,,TRUE,,Senior Champion Trail,,equine9,Friday,8,14,20,
Equine,Trail,Senior,,c1240,,TRUE,,Grand Champion Overall Trail,,equine9,Friday,9,,,
Equine,Trail,Junior,,c1242,1242,,,"In Hand Trail, Under 56""",,equine10,Friday,1,5,13,
Equine,Trail,Junior,,c1243,1243,,,In Hand Trail Horses,,equine10,Friday,2,5,13,
Equine,Trail,Junior,,c1244,1244,,,"Junior Trail Walk/Trot, Horses",,equine10,Friday,3,5,9,
Equine,Trail,Junior,,c1245,1245,,,"Junior Trail Walk/Trot, Ponies",,equine10,Friday,4,5,9,
Equine,Trail,Junior,,c1246,1246,,,Junior Trail Walk/Trot,,equine10,Friday,5,10,13,
Equine,Trail,Junior,,c1247,1247,,,Junior Trail,,equine10,Friday,6,6,9,
Equine,Trail,Junior,,c1248,1248,,,Junior Trail,,equine10,Friday,7,10,11,
Equine,Trail,Junior,,c1249,1249,,,Junior Trail,,equine10,Friday,8,12,13,
Equine,Trail,Junior,,c1250,,TRUE,,Junior Champion Trail,,equine10,Friday,9,6,13,
Equine,Dressage,,,c1263,1263,,,Dressage Equit. On-the-Flat,,equine11,Friday,1,6,13,
Equine,Dressage,,,c1264,1264,,,Dressage Equit. On-the-Flat,,equine11,Friday,2,14,20,
Equine,Dressage,,,c1265,1265,,,Western Dressage Equit. Pattern Class,,equine11,Friday,3,6,13,
Equine,Dressage,,,c1266,1266,,,Western Dressage Equit. Pattern Class,,equine11,Friday,4,14,20,
Equine,Dressage,,,c1267,1267,,,First Level Test 1,,equine11,Friday,5,,,
Equine,Dressage,,,c1268,1268,,,First Level Test 2,,equine11,Friday,6,,,
Equine,Dressage,,,c1269,,TRUE,,Champion First Level,,equine11,Friday,,,,
Equine,Dressage,,,c1271,1271,,,Training Level 2023 USEF Test 1,,equine11,Friday,7,,,
Equine,Dressage,,,c1272,1272,,,Training Level 2023 USEF Test 2,,equine11,Friday,8,,,
Equine,Dressage,,,c1273,,TRUE,,Champion Training Level Dressage,,equine11,Friday,,,,
Equine,Dressage,,,c1275,1275,,,Western Dressage Basic Level Test 1,,equine11,Friday,9,,,
Equine,Dressage,,,c1276,1276,,,Western Dressage Basic Level Test 2,,equine11,Friday,10,,,
Equine,Dressage,,,c1277,,TRUE,,Champion Western Dressage Basic Level,,equine11,Friday,11,,,
Equine,Dressage,,,c1279,1279,,,Intro. Dressage 2023 USDF Test A,,equine11,Friday,,6,13,
Equine,Dressage,,,c1280,1280,,,Intro. Dressage 2023 USDF Test A,,equine11,Friday,12,14,20,
Equine,Dressage,,,c1281,1281,,,Intro. Dressage 2023 USDF Test B,,equine11,Friday,13,6,13,
Equine,Dressage,,,c1282,1282,,,Intro. Dressage 2023 USDF Test B,,equine11,Friday,14,14,20,
Equine,Dressage,,,c1283,,TRUE,,Champion Intro Dressage,,equine11,Friday,,,,
Equine,Dressage,,,c1285,1285,,,Western Dresssage 2023 WDAA Intro Level Test 1,,equine11,Friday,15,,,
Equine,Dressage,,,c1286,1286,,,Western Dresssage 2023 WDAA Intro Level Test 2,,equine11,Friday,16,,,
Equine,Dressage,,,c1287,,TRUE,,Champion Western Dressage Intro Level,,equine11,Friday,,,,
Equine,Dressage,,,c1289,,TRUE,,Grand Champion Dressage,,equine11,Friday,,,,
Equine,Gymkhana,Speed 'N Action,,c1295,1295,,,Speed 'N Action Horses & Ponies,,equine12,Saturday,1,14,16,
Equine,Gymkhana,Speed 'N Action,,c1296,1296,,,Speed 'N Action Horses & Ponies,,equine12,Saturday,2,17,20,
Equine,Gymkhana,Keyhole,,c1297,1297,,,Keyhole Horses & Ponies,,equine12,Saturday,3,14,16,
Equine,Gymkhana,Keyhole,,c1298,1298,,,Keyhole Horses & Ponies,,equine12,Saturday,4,17,20,
Equine,Gymkhana,Pole Bending,,c1299,1299,,,Pole Bending Horses & Ponies,,equine12,Saturday,5,14,16,
Equine,Gymkhana,Pole Bending,,c1300,1300,,,Pole Bending Horses & Ponies,,equine12,Saturday,6,17,20,
Equine,Gymkhana,Stakes Race,,c1301,1301,,,Stakes Race Horses & Ponies,,equine12,Saturday,7,14,16,
Equine,Gymkhana,Stakes Race,,c1302,1302,,,Stakes Race Horses & Ponies,,equine12,Saturday,8,17,20,
Equine,Gymkhana,Cloverleaf,,c1303,1303,,,Cloverleaf Horses & Ponies,,equine12,Wednesday,37,14,16,
Equine,Gymkhana,Cloverleaf,,c1304,1304,,,Cloverleaf Horses & Ponies,,equine12,Wednesday,38,17,20,
Equine,Gymkhana,BCYF Flags,,c1305,1305,,,BCYF Flags Horses & Ponies,,equine12,Wednesday,39,14,16,
